2025-08-13 18:29:25 [main] INFO  parciales.model.Transaccion - Cantidad establecida: 3 para transacción de usuario User 5
2025-08-13 18:29:25 [main] INFO  parciales.model.Transaccion - Tipo de transacción establecido: Compra para usuario User 5
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Transacción agregada a la cola: Compra 3 de ETH por User 5
2025-08-13 18:29:25 [main] INFO  parciales.App - Desencolando transacciones...
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Transacción extraída de la cola: Venta 2 de A por User 1
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Procesando siguiente transacción...
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Ejecutando transacción: Venta 2 de A por User 1
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Intentando venta: 2 A de User 1 (disponible: 0)
2025-08-13 18:29:25 [main] INFO  parciales.model.Transaccion - Estatus establecido: Invalida para transacción de usuario User 1
2025-08-13 18:29:25 [main] ERROR parciales.services.TransactionProcessorService - Venta fallida por cantidad insuficiente: Usuario User 1 tiene 0 A, quiere vender 2
2025-08-13 18:29:25 [main] ERROR parciales.services.TransactionProcessorService - Error inesperado en ejecutarVenta: No se pudo completar la venta.
2025-08-13 18:29:25 [main] ERROR parciales.services.TransactionProcessorService - Error al ejecutar transacción: No se pudo completar la venta.
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Transacción extraída de la cola: Venta 5 de PI por User 2
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Procesando siguiente transacción...
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Ejecutando transacción: Venta 5 de PI por User 2
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Intentando venta: 5 PI de User 2 (disponible: 0)
2025-08-13 18:29:25 [main] INFO  parciales.model.Transaccion - Estatus establecido: Invalida para transacción de usuario User 2
2025-08-13 18:29:25 [main] ERROR parciales.services.TransactionProcessorService - Venta fallida por cantidad insuficiente: Usuario User 2 tiene 0 PI, quiere vender 5
2025-08-13 18:29:25 [main] ERROR parciales.services.TransactionProcessorService - Error inesperado en ejecutarVenta: No se pudo completar la venta.
2025-08-13 18:29:25 [main] ERROR parciales.services.TransactionProcessorService - Error al ejecutar transacción: No se pudo completar la venta.
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Transacción extraída de la cola: Compra 3 de SEI por User 3
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Procesando siguiente transacción...
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Ejecutando transacción: Compra 3 de SEI por User 3
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Intentando compra: 3 SEI de User 3 por $4567.6374000000005 COP
2025-08-13 18:29:25 [main] INFO  parciales.model.Usuario - Saldo disminuido en $4567.6374000000005 COP para usuario User 3. Nuevo saldo: $8.99954323626E7 COP
2025-08-13 18:29:25 [main] INFO  parciales.model.Transaccion - Estatus establecido: Valida para transacción de usuario User 3
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Compra exitosa: 3 SEI de User 3 por 4567.6374000000005
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Transacción extraída de la cola: Compra 6 de SHIB por User 4
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Procesando siguiente transacción...
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Ejecutando transacción: Compra 6 de SHIB por User 4
2025-08-13 18:29:25 [main] INFO  parciales.services.TransactionProcessorService - Intentando compra: 6 SHIB de User 4 por $0.32928 COP
